mockxago-test  | INFO: 2026/02/23 09:32:32 Initialized in-memory storage
mockxago-test  | INFO: 2026/02/23 09:32:32 Successful login with public_key=test_public_key_12345, issued token=df01a891-bc21-4a9f-b0e6-8a0ed69ea99e
mockxago-test  | WARN: 2026/02/23 09:32:32 WEBHOOK_URL not configured, skipping webhook for wallet wallet_bal_test
mockxago-test  | WARN: 2026/02/23 09:32:32 WEBHOOK_URL not configured, skipping webhook for wallet wallet_bal_test
mockxago-test  | WARN: 2026/02/23 09:32:32 WEBHOOK_URL not configured, skipping webhook for wallet wallet_bal_test
mockxago-test  | INFO: 2026/02/23 09:32:32 Successful login with public_key=test_public_key_12345, issued token=bbf8ca9e-e8dc-43dd-996f-06d81dceda10
mockxago-test  | WARN: 2026/02/23 09:32:32 WEBHOOK_URL not configured, skipping webhook for wallet wallet_100
mockxago-test  | INFO: 2026/02/23 09:32:32 Successful login with public_key=test_public_key_12345, issued token=3337478a-f4fd-4949-ae28-b4769702d900
mockxago-test  | INFO: 2026/02/23 09:32:32 Created beneficiary 1ef244da-24ad-4625-91d5-687081543612 for account 01c65f36-b31e-451c-ac63-f5d5414c87f9 (wallet wallet_ben_test)
mockxago-test  | INFO: 2026/02/23 09:32:32 Successful login with public_key=test_public_key_12345, issued token=b6340856-7b20-4d55-a093-a33225488208
mockxago-test  | INFO: 2026/02/23 09:32:32 Created beneficiary 40c0eb9c-c07f-45ff-8f70-f3aa71f10671 for account 56713eaa-94de-40eb-802c-a3ff6456a5e6 (wallet wallet_ben_test)
mockxago-test  | INFO: 2026/02/23 09:32:32 Successful login with public_key=test_public_key_12345, issued token=739ffd27-7ec2-4c4e-bc72-9c2b310a0ebe
mockxago-test  | INFO: 2026/02/23 09:32:32 Created beneficiary f7b5181e-e528-48e2-aa65-c1f8dc989cad for account 2b58411e-ca7b-4ba3-b454-e996257cdd87 (wallet wallet_ben_test)
mockxago-test  | INFO: 2026/02/23 09:32:35 Auto-approved beneficiary 1ef244da-24ad-4625-91d5-687081543612
mockxago-test  | INFO: 2026/02/23 09:32:35 Auto-approved beneficiary 40c0eb9c-c07f-45ff-8f70-f3aa71f10671
mockxago-test  | INFO: 2026/02/23 09:32:35 Auto-approved beneficiary f7b5181e-e528-48e2-aa65-c1f8dc989cad
mockxago-test  | INFO: 2026/02/23 09:32:35 Listed 1 beneficiaries for account 2b58411e-ca7b-4ba3-b454-e996257cdd87 (page=1, limit=100, total=1)
mockxago-test  | INFO: 2026/02/23 09:32:35 Successful login with public_key=test_public_key_12345, issued token=95e93cf2-ebd1-4277-a1f1-fc9da29e0520
mockxago-test  | INFO: 2026/02/23 09:32:35 Created beneficiary 9ad618cf-bfe5-482b-8173-96bf250ff2cb for account 1f501966-3505-4f8c-9c30-57fd987ae3a9 (wallet wallet_ben_test)
mockxago-test  | INFO: 2026/02/23 09:32:35 Successful login with public_key=test_public_key_12345, issued token=cc6ea501-c491-4493-84f7-9e70f8ef4c17
mockxago-test  | INFO: 2026/02/23 09:32:35 Successful login with public_key=test_public_key_12345, issued token=74f1ff9f-c2bb-4d7c-935f-b2826b001815
mockxago-test  | INFO: 2026/02/23 09:32:35 Successful login with public_key=test_public_key_12345, issued token=5ceeffe1-7de9-428f-9d10-b365b227f2a7
mockxago-test  | INFO: 2026/02/23 09:32:35 Created beneficiary 72107377-d7ad-496b-b334-bfd77a60b33d for account adbe0071-d5f9-405b-815a-6b67e1964508 (wallet wallet_ben_test)
mockxago-test  | INFO: 2026/02/23 09:32:35 Created beneficiary 995b3518-7d41-4622-b427-affe379490c7 for account adbe0071-d5f9-405b-815a-6b67e1964508 (wallet wallet_ben_test)
mockxago-test  | INFO: 2026/02/23 09:32:35 Created beneficiary 10af5ee3-837b-44ac-8deb-2ef5164fd4a4 for account adbe0071-d5f9-405b-815a-6b67e1964508 (wallet wallet_ben_test)
mockxago-test  | INFO: 2026/02/23 09:32:35 Listed 3 beneficiaries for account adbe0071-d5f9-405b-815a-6b67e1964508 (page=1, limit=10, total=3)
mockxago-test  | INFO: 2026/02/23 09:32:35 Successful login with public_key=test_public_key_12345, issued token=79c7ee46-e5bd-4160-931b-96eb6e6b498c
mockxago-test  | INFO: 2026/02/23 09:32:35 Created beneficiary badccf4a-8413-4b57-94a4-41a18260b9aa for account f25855b2-190b-4b1e-839f-212db61d9c5f (wallet wallet_ben_test)
mockxago-test  | INFO: 2026/02/23 09:32:35 Created beneficiary 386ff596-07aa-48af-9365-71f7684bcf2c for account f25855b2-190b-4b1e-839f-212db61d9c5f (wallet wallet_ben_test)
mockxago-test  | INFO: 2026/02/23 09:32:35 Created beneficiary e0fc865f-9271-4f22-81b6-92083525e7ef for account f25855b2-190b-4b1e-839f-212db61d9c5f (wallet wallet_ben_test)
mockxago-test  | INFO: 2026/02/23 09:32:35 Created beneficiary d5ed0ea5-7f51-4297-bc09-1f741106a664 for account f25855b2-190b-4b1e-839f-212db61d9c5f (wallet wallet_ben_test)
mockxago-test  | INFO: 2026/02/23 09:32:35 Created beneficiary 5a1d1384-002d-497e-b219-1841dd068aa2 for account f25855b2-190b-4b1e-839f-212db61d9c5f (wallet wallet_ben_test)
mockxago-test  | INFO: 2026/02/23 09:32:35 Created beneficiary 432f303f-aa38-40a0-9fed-a536a6a58bfc for account f25855b2-190b-4b1e-839f-212db61d9c5f (wallet wallet_ben_test)
mockxago-test  | INFO: 2026/02/23 09:32:35 Created beneficiary 0797fb5b-5206-4431-8090-4bde18657e08 for account f25855b2-190b-4b1e-839f-212db61d9c5f (wallet wallet_ben_test)
mockxago-test  | INFO: 2026/02/23 09:32:35 Created beneficiary d4bc4c9b-abec-4550-8b32-3e3fee69511e for account f25855b2-190b-4b1e-839f-212db61d9c5f (wallet wallet_ben_test)
mockxago-test  | INFO: 2026/02/23 09:32:35 Created beneficiary 57aea2f6-67a5-4e8e-b673-905b040acd13 for account f25855b2-190b-4b1e-839f-212db61d9c5f (wallet wallet_ben_test)
mockxago-test  | INFO: 2026/02/23 09:32:35 Created beneficiary 12e6ac66-8208-47f1-9036-9e607efd2c51 for account f25855b2-190b-4b1e-839f-212db61d9c5f (wallet wallet_ben_test)
mockxago-test  | INFO: 2026/02/23 09:32:35 Created beneficiary bde82ea7-fba0-441e-a97b-ea1fa42c9b57 for account f25855b2-190b-4b1e-839f-212db61d9c5f (wallet wallet_ben_test)
mockxago-test  | INFO: 2026/02/23 09:32:35 Created beneficiary 8f6fcb79-8d44-4192-9368-51285e6f52d3 for account f25855b2-190b-4b1e-839f-212db61d9c5f (wallet wallet_ben_test)
mockxago-test  | INFO: 2026/02/23 09:32:35 Created beneficiary ab4dd6fa-05dd-40ec-85ff-f8c0b8c728b1 for account f25855b2-190b-4b1e-839f-212db61d9c5f (wallet wallet_ben_test)
mockxago-test  | INFO: 2026/02/23 09:32:35 Created beneficiary eb6605c4-0348-4e4e-b24c-3c9073049a2b for account f25855b2-190b-4b1e-839f-212db61d9c5f (wallet wallet_ben_test)
mockxago-test  | INFO: 2026/02/23 09:32:35 Created beneficiary 721634ac-791e-4deb-ba95-18ab27819803 for account f25855b2-190b-4b1e-839f-212db61d9c5f (wallet wallet_ben_test)
mockxago-test  | INFO: 2026/02/23 09:32:35 Listed 10 beneficiaries for account f25855b2-190b-4b1e-839f-212db61d9c5f (page=1, limit=10, total=15)
mockxago-test  | INFO: 2026/02/23 09:32:35 Listed 5 beneficiaries for account f25855b2-190b-4b1e-839f-212db61d9c5f (page=2, limit=10, total=15)
mockxago-test  | INFO: 2026/02/23 09:32:35 Successful login with public_key=test_public_key_12345, issued token=ad2bf3b0-24e3-4624-ac61-ca83ae987ac1
mockxago-test  | INFO: 2026/02/23 09:32:35 Created beneficiary 4a9bd9b2-f59a-4fae-a654-c78591f5c57e for account 0602345f-0cce-4331-8795-408f57a80c39 (wallet wallet_ben_test)
mockxago-test  | INFO: 2026/02/23 09:32:35 Created beneficiary 8c0c90d6-db07-42f1-9ad6-c60b11629ff6 for account 0602345f-0cce-4331-8795-408f57a80c39 (wallet wallet_ben_test)
mockxago-test  | INFO: 2026/02/23 09:32:35 Listed 2 beneficiaries for account 0602345f-0cce-4331-8795-408f57a80c39 (page=1, limit=100, total=2)
mockxago-test  | INFO: 2026/02/23 09:32:35 Successful login with public_key=test_public_key_12345, issued token=f10a6998-0cd6-49ad-a157-ef9b906a811c
mockxago-test  | INFO: 2026/02/23 09:32:35 Created beneficiary 53806e2c-592b-4a92-a774-bec5972a1f9c for account 0bfe026f-a647-44e8-9866-76c360bb4c91 (wallet wallet_aaa)
mockxago-test  | INFO: 2026/02/23 09:32:35 Created beneficiary 95c20f16-2362-45ce-bd4a-3927c3c500ec for account 0bfe026f-a647-44e8-9866-76c360bb4c91 (wallet wallet_aaa)
mockxago-test  | INFO: 2026/02/23 09:32:35 Listed 2 beneficiaries for account 0bfe026f-a647-44e8-9866-76c360bb4c91 (page=1, limit=100, total=2)
mockxago-test  | INFO: 2026/02/23 09:32:35 Listed 0 beneficiaries for account ee93e8bd-32c2-4ca1-9b0b-2731600a1069 (page=1, limit=100, total=0)
mockxago-test  | INFO: 2026/02/23 09:32:35 Listed 2 beneficiaries for account 0bfe026f-a647-44e8-9866-76c360bb4c91 (page=1, limit=100, total=2)
mockxago-test  | INFO: 2026/02/23 09:32:35 Successful login with public_key=test_public_key_12345, issued token=f90f399f-02f5-4e0f-a4fe-9be89b43f258
mockxago-test  | INFO: 2026/02/23 09:32:35 Created beneficiary 8c0cba33-258d-4088-86b7-5357ea18464c for account 60a28b20-c074-49fc-932f-ae21a723f782 (wallet wallet_ben_test)
mockxago-test  | INFO: 2026/02/23 09:32:35 Listed 1 beneficiaries for account 60a28b20-c074-49fc-932f-ae21a723f782 (page=1, limit=100, total=1)
mockxago-test  | INFO: 2026/02/23 09:32:35 Successful login with public_key=test_public_key_12345, issued token=b04a403f-4869-47ff-b486-f519b73f3ab9
mockxago-test  | INFO: 2026/02/23 09:32:35 Successful login with public_key=test_public_key_12345, issued token=c18c1734-e718-4db0-9c92-f39a4aea4c88
mockxago-test  | INFO: 2026/02/23 09:32:35 Successful login with public_key=test_public_key_12345, issued token=bf713337-bff0-4e0c-abbf-0617acbfaf65
mockxago-test  | INFO: 2026/02/23 09:32:35 Successful login with public_key=test_public_key_12345, issued token=1070aa57-bde8-4566-a4b2-923d6b7e4580
mockxago-test  | INFO: 2026/02/23 09:32:35 Successful login with public_key=test_public_key_12345, issued token=f7667500-35bf-42cd-8244-7c4146291c9e
mockxago-test  | INFO: 2026/02/23 09:32:35 Successful login with public_key=test_public_key_12345, issued token=2e7f4f05-cd3e-4812-9bf3-c2dccaa49df3
mockxago-test  | INFO: 2026/02/23 09:32:35 Successful login with public_key=test_public_key_12345, issued token=93deed2a-cd40-4665-a5a4-10a644507b5e
mockxago-test  | INFO: 2026/02/23 09:32:35 Successful login with public_key=test_public_key_12345, issued token=2d1c9114-f851-4d0c-bdf3-eb652a4f7435
mockxago-test  | INFO: 2026/02/23 09:32:35 Successful login with public_key=test_public_key_12345, issued token=c1eb3940-81da-4ccb-901a-b68a6fa0c80d
mockxago-test  | INFO: 2026/02/23 09:32:35 Successful login with public_key=test_public_key_12345, issued token=8118c969-9814-4319-8ace-6beddcf8e1d7
mockxago-test  | INFO: 2026/02/23 09:32:35 KYC iframe form submitted
mockxago-test  | INFO: 2026/02/23 09:32:35 KYC submitted - wallet_id: wallet_kyc_001, name: Sarah Smith
mockxago-test  | INFO: 2026/02/23 09:32:35 Parsed birth year: 1990
mockxago-test  | INFO: 2026/02/23 09:32:35 KYC submission successful for wallet wallet_kyc_001
mockxago-test  | ERROR: 2026/02/23 09:32:35 Persona webhook request failed: Post "http://backend:8080/webhooks/persona": dial tcp: lookup backend on 127.0.0.11:53: server misbehaving
mockxago-test  | INFO: 2026/02/23 09:32:35 Successful login with public_key=test_public_key_12345, issued token=39fa80dd-67e4-41f0-9345-105009409ec3
mockxago-test  | WARN: 2026/02/23 09:32:35 WEBHOOK_URL not configured, skipping webhook for wallet wallet_flow_001
mockxago-test  | INFO: 2026/02/23 09:32:35 Successful login with public_key=test_public_key_12345, issued token=4895b98e-367b-47c1-8a38-3c370b84ec78
mockxago-test  | WARN: 2026/02/23 09:32:35 WEBHOOK_URL not configured, skipping webhook for wallet wallet_multi_001
mockxago-test  | WARN: 2026/02/23 09:32:35 WEBHOOK_URL not configured, skipping webhook for wallet wallet_multi_001
mockxago-test  | INFO: 2026/02/23 09:32:35 Successful login with public_key=test_public_key_12345, issued token=efd3376e-95d4-4564-96ad-0977ff8bd560
mockxago-test  | WARN: 2026/02/23 09:32:35 WEBHOOK_URL not configured, skipping webhook for wallet wallet_aaa
mockxago-test  | WARN: 2026/02/23 09:32:35 WEBHOOK_URL not configured, skipping webhook for wallet wallet_bbb
mockxago-test  | INFO: 2026/02/23 09:32:35 Successful login with public_key=test_public_key_12345, issued token=7c1edac5-7822-4f10-9c90-d857995796f5
mockxago-test  | INFO: 2026/02/23 09:32:35 Successful login with public_key=test_public_key_12345, issued token=7981b372-baa0-489a-9dcc-043083e40052
mockxago-test  | INFO: 2026/02/23 09:32:35 Successful login with public_key=test_public_key_12345, issued token=3b8d062b-2f80-4ccc-90bd-38ee3d07bc43
mockxago-test  | INFO: 2026/02/23 09:32:35 Successful login with public_key=test_public_key_12345, issued token=b93da880-16b1-409a-9439-667678a7facc
mockxago-test  | INFO: 2026/02/23 09:32:35 Test transaction created: 2210cfa6-ef95-44b8-b7e6-1dd040840b73 for account a0187afc-29ef-4095-a40c-b1fa93031938: 10000.000000 ZAR
mockxago-test  | INFO: 2026/02/23 09:32:35 Test transaction created: 13bf925f-2125-4d13-a79e-872ec0f8d8ec for account a0187afc-29ef-4095-a40c-b1fa93031938: 2000.000000 ZAR
mockxago-test  | INFO: 2026/02/23 09:32:35 Test transaction created: ce0e7ce9-a830-49eb-b679-f42dde7b03d9 for account a0187afc-29ef-4095-a40c-b1fa93031938: 5000.000000 ZAR
mockxago-test  | INFO: 2026/02/23 09:32:35 Test transaction created: 101970b2-0904-4bcd-b574-39d02be59717 for account a0187afc-29ef-4095-a40c-b1fa93031938: 1000.000000 USD
mockxago-test  | INFO: 2026/02/23 09:32:35 Listed transactions: page=1, limit=10, total=4, returned=4
mockxago-test  | INFO: 2026/02/23 09:32:35 Successful login with public_key=test_public_key_12345, issued token=27fec090-61a6-4a3a-8909-7dfe4c7a6798
mockxago-test  | INFO: 2026/02/23 09:32:35 Successful login with public_key=test_public_key_12345, issued token=398b4f38-efeb-48e9-8127-b59571f1f2a7
mockxago-test  | INFO: 2026/02/23 09:32:35 Successful login with public_key=test_public_key_12345, issued token=6facbbf5-4cc0-4b9e-8530-49195acd6bad
mockxago-test  | INFO: 2026/02/23 09:32:35 Successful login with public_key=test_public_key_12345, issued token=b4a5b363-db19-4624-81ab-85708e5ada66
mockxago-test  | INFO: 2026/02/23 09:32:35 Successful login with public_key=test_public_key_12345, issued token=4fb36241-67d7-47f0-af89-61aa81bd76f8
mockxago-test  | INFO: 2026/02/23 09:32:35 Successful login with public_key=test_public_key_12345, issued token=9072d55f-4703-4c50-a452-868393bcc462
mockxago-test  | INFO: 2026/02/23 09:32:35 Successful login with public_key=test_public_key_12345, issued token=526d2df5-3c47-4570-a0c3-7bfcec3f8cb4
mockxago-test  | INFO: 2026/02/23 09:32:35 Successful login with public_key=test_public_key_12345, issued token=fcab7ed6-3dd3-4157-94ea-b373b303dec1
mockxago-test  | INFO: 2026/02/23 09:32:35 Successful login with public_key=test_public_key_12345, issued token=4742725c-0e25-4642-8d73-770274a380f9
mockxago-test  | INFO: 2026/02/23 09:32:35 Successful login with public_key=test_public_key_12345, issued token=9b67ffdd-650d-41ed-b528-bf62b5979d26
